,DatasetName,KNN,GNB,SVC,LR,DT,RF,GBC,ensemblevoting,stacking,max Acc,maxtechNames
0,complexitymetaDataset.csv,77.64999999999999,65.16,72.34,64.05,73.19,75.13,88.35,86.96000000000001,89.18,89.18,stacking
1,GeneralMetaDatset.csv,79.38,64.29,19.55,44.1,71.19,79.28,89.53999999999999,88.89,89.44,89.53999999999999,GBC
2,infotheoryMetaDataset.csv,80.61,67.99,73.18,70.89999999999999,68.39,78.69,92.63,91.67,93.89,93.89,stacking
3,landmarkMeta.csv,79.46,75.58,79.60000000000001,79.14,79.28,81.45,90.66,90.56,91.67,91.67,stacking
4,modelBasedMeta.csv,75.21,43.980000000000004,46.81,46.28,69.27,73.97,86.36,86.11,87.22,87.22,stacking
5,statisticalMetaDataset.csv,70.69,22.25,53.89000000000001,57.54,49.11,72.82,89.53999999999999,88.33,90.56,90.56,stacking
