,DatasetName,KNN,GNB,SVC,LR,DT,RF,GBC,ensemblevoting,stacking,max Acc,maxtechNames
0,complexitymetaDataset.csv,74.92999999999999,64.14999999999999,73.27,64.14999999999999,72.78,75.56,86.96000000000001,87.52,88.63,88.63,stacking
1,GeneralMetaDatset.csv,76.11,50.56,54.44,55.559999999999995,71.67,78.89,88.33,88.89,89.44,89.44,stacking
2,infotheoryMetaDataset.csv,78.33,61.11,65.56,65.56,68.89,75.56,91.11,92.78,94.44,94.44,stacking
3,landmarkMeta.csv,80.0,77.22,80.56,79.44,80.0,82.22,90.56,90.56,91.67,91.67,stacking
4,modelBasedMeta.csv,75.0,63.33,63.33,60.56,66.67,72.78,86.11,85.56,87.78,87.78,stacking
5,statisticalMetaDataset.csv,66.11,52.22,53.33,58.89,60.56,71.67,88.33,87.22,90.56,90.56,stacking
